batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,update_emissions_mg,updated
1,1000,incremental,0.024417465580966677,0.01589403973509934,0.024336005773727187,0.11920529801324503,0.049101650914742966,0.01456953642384106,0.032979355375297004,0.24503311258278146,0.057206989873372915,0.0,False
2,2000,incremental,0.017214088400964066,0.009941520467836258,0.01883618621721926,0.09941520467836257,0.03701029336977797,0.01023391812865497,0.02557461657941732,0.18128654970760233,0.0547418411195501,0.0,False
3,3000,incremental,0.029598256681590013,0.01568627450980392,0.026102272022590637,0.12254901960784313,0.0408716985201991,0.010539215686274509,0.03036311384046502,0.1568627450980392,0.049684928361398956,0.0,False
4,4000,incremental,0.035153458935463164,0.018867924528301886,0.027361584959342312,0.16352201257861634,0.04459830595892654,0.013836477987421384,0.031112484246558422,0.23270440251572327,0.050418059352576546,0.0,False
5,5000,incremental,0.025061537813406514,0.013259668508287295,0.022154346451054432,0.1270718232044199,0.04357201751173152,0.011602209944751382,0.02904864070692716,0.20994475138121546,0.049992921115682515,0.0,False
6,6000,incremental,0.020438165131259758,0.012422360248447204,0.020645817180634237,0.11180124223602485,0.03702998111013033,0.011180124223602485,0.026528028993080224,0.18012422360248448,0.05066057384745729,0.0,False
7,7000,incremental,0.02872295096107888,0.014457831325301203,0.023355984083829075,0.12650602409638553,0.0477056917811691,0.01355421686746988,0.030998982415958814,0.21686746987951808,0.04374457376667456,0.0,False
8,8000,incremental,0.018847803771403087,0.014838709677419357,0.016407971756738922,0.13548387096774195,0.04193774698231404,0.015161290322580645,0.025206351798469966,0.24516129032258063,0.04077310022556203,0.0,False
9,9000,incremental,0.022671630140572163,0.011167512690355331,0.020320436551617842,0.10152284263959391,0.03557600932033205,0.009644670050761422,0.025051100338415535,0.15736040609137056,0.04337573185284991,0.0,False
10,10000,incremental,0.03522909251130667,0.01839080459770115,0.033685867315873634,0.14942528735632185,0.059900639120239844,0.016666666666666666,0.04285783637612444,0.2471264367816092,0.0694621880794081,0.0,False
11,11000,incremental,0.02284461407864618,0.016901408450704227,0.021663363371330274,0.14788732394366197,0.04029819922589329,0.01267605633802817,0.026411914835019857,0.19718309859154928,0.05121373766666576,0.0,False
12,12000,incremental,0.0241368213555678,0.014093959731543627,0.022916315838021218,0.12080536912751678,0.048356995344032476,0.015100671140939598,0.03352789104415271,0.21476510067114093,0.04886940916742276,0.0,False
13,13000,incremental,0.014979177414410577,0.009326424870466322,0.013822998502193939,0.07772020725388601,0.03911124731692427,0.01139896373056995,0.023319407996804365,0.16580310880829016,0.031973367880063525,0.0,False
14,14000,incremental,0.02739500946514521,0.01435897435897436,0.01998142234707402,0.13333333333333333,0.0394421859353986,0.011282051282051283,0.025014210605797907,0.1641025641025641,0.038220869544398954,0.0,False
15,15000,incremental,0.02317479766387801,0.0125,0.02168517062502985,0.10119047619047619,0.03740895410292613,0.01130952380952381,0.02751022683684513,0.18452380952380953,0.046588628652704286,0.0,False
16,16000,incremental,0.021131239602577182,0.0089171974522293,0.01761312632831418,0.08280254777070063,0.04105885975312727,0.010191082802547772,0.02610361444371352,0.17834394904458598,0.039174798637982164,0.0,False
17,17000,incremental,0.028880715244351606,0.016233766233766232,0.024002902477199026,0.14935064935064934,0.03778833423600421,0.012337662337662338,0.027981550293441883,0.18181818181818182,0.051655796351174496,0.0,False
18,18000,incremental,0.022979413155344557,0.015168539325842698,0.02403539565666914,0.12921348314606743,0.0411323933803236,0.012359550561797755,0.029449717401930295,0.1797752808988764,0.05929222551739684,0.0,False
