batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,0.029757217847769028,0.004133858267716535,0.015606667803340453,0.04133858267716536,0.013160854893138356,0.009335624284077892,0.002061855670103093,0.006353497187920807,0.020618556701030927,0.00781786941580756,0.024113643558088,0.0035612535612535613,0.013049523787113371,0.03561253561253561,0.011684303350970019,194,0.27635327635327633,65679,11.791219359197076,48.892705202388164,148.33729551308278,12.275888451432284,20.829372612048516,11.672794370416566,13.14896717545999,266.94824268402533,0.0,False
2,2000,0.016584158415841585,0.0019801980198019802,0.00871553019508882,0.019801980198019802,0.006716171617161716,0.026255707762557076,0.0036529680365296807,0.0216438434025041,0.0319634703196347,0.021961295933898672,0.01950966850828729,0.0024861878453038676,0.01262616637246996,0.023480662983425413,0.01132761115495922,205,0.28314917127071826,65679,11.720882125491471,49.524133926683554,154.51056815121993,11.66221987690928,14.626256971761041,11.673469946046401,12.919373279719759,266.63690427783143,0.0,False
3,3000,0.03220439691027926,0.004313725490196079,0.01855497532118222,0.041176470588235294,0.01644880174291939,0.0189873417721519,0.002109704641350211,0.009181087061402655,0.02109704641350211,0.007735583684950773,0.028011034035130417,0.0036144578313253013,0.015580930451613604,0.03480589022757698,0.013684367098021715,207,0.27710843373493976,65679,11.79349241511136,50.15156642584808,139.59333344629903,11.689336439267995,15.061387247081214,11.665849559633475,12.76628607628917,252.72125160953033,0.0,False
4,4000,0.01546267629858961,0.0025490196078431374,0.006732912791890686,0.025490196078431372,0.00631730469965764,0.015918367346938776,0.0033333333333333335,0.01231088242002985,0.02857142857142857,0.015918367346938776,0.015595586187691449,0.002777777777777778,0.00835982060009794,0.02638888888888889,0.009117614638447973,179,0.24861111111111112,65679,11.719629770626586,34.3263638320167,135.71409243149725,11.664407862428932,14.629224241928572,11.670844830153618,12.666277727135713,232.39084069578738,0.0,False
5,5000,0.021623419827012644,0.0023952095808383238,0.013438500734088735,0.023952095808383235,0.011377245508982036,0.03357000498256103,0.005381165919282512,0.019126712606106145,0.04932735426008968,0.016228913089899637,0.025303100061387352,0.0033149171270718232,0.015190532843839956,0.031767955801104975,0.012871612733491187,178,0.24585635359116023,65679,11.75211898726521,33.04972841352595,144.88411984725764,11.681559589062953,14.770887393842974,11.699333961767092,13.24472768626469,241.0824758789865,0.0,False
6,6000,0.02906162464985994,0.004201680672268907,0.01579322997549973,0.03991596638655462,0.013674636521275178,0.012971698113207548,0.0023584905660377358,0.010065115219714104,0.018867924528301886,0.010220125786163521,0.024103682170542633,0.003633720930232558,0.014028171358891367,0.03343023255813953,0.01261016519010705,169,0.24563953488372092,65679,11.73842774664026,31.28296219882137,138.17650279768895,11.662649576899172,14.477215168396057,11.66698132704265,13.154945581427642,232.15968439691616,0.0,False
7,7000,0.013888888888888888,0.0020833333333333333,0.007408088128895929,0.020833333333333332,0.006128472222222222,0.007178217821782178,0.0014851485148514854,0.00738850220353967,0.01485148514851485,0.010451045104510451,0.011901270772238515,0.0019061583577712614,0.007402287019039675,0.01906158357771261,0.0074087650700553915,147,0.2155425219941349,65679,11.743923327102749,28.182619570532758,134.37479962903925,11.659439476399085,14.452136151495328,11.667522301655845,12.862532595707323,224.94297305193234,0.0,False
8,8000,0.025978407557354928,0.004251012145748988,0.01432178403639014,0.03643724696356275,0.013941906047169206,0.015873015873015872,0.0019047619047619048,0.012521024972853326,0.01904761904761905,0.012585034013605442,0.022964015151515152,0.0035511363636363635,0.01378462579300558,0.03125,0.013537157287157287,151,0.21448863636363635,65679,11.711094963400177,29.40750551246778,134.40228751555222,11.657426403949897,14.802055411341271,11.676212340603827,12.420638317923224,226.07722046523838,0.0,False
9,9000,0.0274781919111816,0.0032989690721649486,0.013511671200204944,0.032989690721649485,0.009953362788414334,0.018109987357774967,0.004424778761061947,0.012058380621562927,0.04424778761061947,0.015228613569321533,0.024500394120647282,0.0036568213783403666,0.013049725109103542,0.03656821378340366,0.011630165427633782,160,0.2250351617440225,65679,11.69683248897907,29.51601123005751,134.57853001964557,11.672221544562541,14.640453762377724,11.6695017301628,13.110637555705917,226.88418833149115,0.0,False
10,10000,0.016767473118279568,0.002620967741935484,0.008784244647227242,0.024193548387096774,0.008142921146953405,0.02134646962233169,0.0024630541871921183,0.012519639163227908,0.024630541871921183,0.010509031198686371,0.018097281831187407,0.002575107296137339,0.009869058791359053,0.024320457796852647,0.008830074709903036,151,0.21602288984263232,65679,11.735814990340536,29.50211888423388,136.51312419683163,11.65953272631035,14.541985769985898,11.666170999642418,12.423115820032939,228.04186338737765,0.0,False
